Do Not Publish	Business Owner Name	Business Name	Street Number	Street Name	Suite Number	P.O. Box Number	PMB Number	City	State	 Zip 	 Home Based 	 Primary NAICS #	 NAICS Description 	 New Business? 	Business Start	Business Expiration	Ownership Type	# Employees	Council District	Business Community	BID	BID Description
Y	RIZK ROY SAWAYA	7 ELEVEN 21794	6991	EL CAJON BLVD 				SAN DIEGO	CA	92115-1739	N	44512	CONVENIENCE STORE SELLING TO TOBACCO SUNDREES SNACKS	N	4/28/2010	4/30/2021	SOLE	8	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
N	RAASHI INC	7 ELEVEN STORE 13633F	5141	COLLEGE AVE 				SAN DIEGO	CA	92115-2413	N	44512	CONVENIENCE MARKET	N	12/24/2019	12/31/2020	SCORP	5	9	COLLEGE AREA	21	COLLEGE AREA
N	7 ELEVEN INC	7-ELEVEN FOOD STORE #20174T/2021	6571	EL CAJON BLVD 				SAN DIEGO	CA	92115-2706	N	44512	CONVENIENCE STORE SELLING PREPACKAGED FOODS, BEVERAGES, SUNDRIES, AND LOTTO TO PATRONS.	N	9/1/1978	8/31/2021	CORP	10	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
N	A BRANCH AWAY LLC	A BRANCH AWAY LLC	4730	COLLEGE AVE 				SAN DIEGO	CA	92115-3905	N	7213	PROVIDED CLEAN, SAFE AND SOBER RESIDENCE FOR PEOPLE TRANSITIONING BACK INTO SOCIETY FROM JAILS, PRISON TREATMENT PROGRAM & HOMELESSNESS.	N	8/15/2019	8/31/2021	LLC	0	9	COLLEGE AREA	21	COLLEGE AREA
N	MARSHAL L JACKSON	A VISION OF HOPE	6244	EL CAJON BLVD 	4			SAN DIEGO	CA	92115-3918	N	45322	SERENITY, SHOP, TOKENS, RECOVERY, NA, AA, CA BOOKS, PAMPHLETS & GIFTS ETC	N	2/15/2020	2/28/2021	SOLE	0	9	COLLEGE AREA	21	COLLEGE AREA
Y	MARSHAL JACKSON	A VISION OF HOPE	6244	EL CAJON BLVD 	4			SAN DIEGO	CA	92115-3918	Y	44	RETAIL	N	2/14/2020	2/28/2021	SOLE	0	9	COLLEGE AREA	21	COLLEGE AREA
N	SCRIVENER MICHAEL S	A+ REVIEW	6784	EL CAJON BLVD 	G			SAN DIEGO	CA	92115-1602	N	611691	EXAM PREPARATION & TUTORING	N	1/1/1993	12/31/2020	SOLE	0	9	COLLEGE AREA	21	COLLEGE AREA
N	AMANDA BARCENA	AB3 BOOKKEEPING	4456	COLLEGE AVE 				SAN DIEGO	CA	92115-5534	Y	54121	BOOKKEEPING	N	8/1/2019	7/31/2021	SOLE	0	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
N	ABBASI AUTO SERVICE INC	ABBASI AUTO	5625	EL CAJON BLVD 				SAN DIEGO	CA	92115-3736	N	4411	AUTO SALES	N	10/1/2020	9/30/2021	CORP	2	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
N	ABIGAIL JENNIFER MENDEZ	ABBY'S CLEANING SERVICES	6470	EL CAJON BLVD 	232			SAN DIEGO	CA	92115-2665	Y	56172	JANITORIAL 	N	2/27/2019	2/28/2021	SOLE	0	9	COLLEGE AREA                       	21	COLLEGE AREA
Y	ABRAHA G PETROS	ABRAHA G PETROS	5857	EL CAJON BLVD 	3			SAN DIEGO	CA	92115-3783	Y	48531	DRIVING TAXI. 	N	5/23/2011	5/31/2021	SOLE	0	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
N	ABRAJ RESTAURANT INC	ABRAJ RESTAURANT INC	6475	EL CAJON BLVD 				SAN DIEGO	CA	92115-2646	N	72211	FOOD RESTAURANT	N	7/25/2017	7/31/2021	CORP	1	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
N	THOMAS J HARMON	ABS AUTO AUCTIONS	5905	EL CAJON BLVD 				SAN DIEGO	CA	92115-3827	N	42111	WHOLESALE AUTO AUCTION	Y	10/1/2020	9/30/2021	SOLE	12	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
N	SHAVON T DUNN	ACKEE TREE THE REAL JAMAICAN CUISINE	5712	EL CAJON BLVD 				SAN DIEGO	CA	92115-3737	N	722211	RESTAURANT, SELLING COOKED FOOD, AND PREPACKED SODA/WATER	N	11/15/2015	11/30/2020	SOLE	3	9	COLLEGE AREA	21	COLLEGE AREA
N	MENTAL HEALTH SYSTEMS INC	ACTION CENTRAL	6244	EL CAJON BLVD 	15-18			SAN DIEGO	CA	92115-3918	N	81341	INDIVIDUAL AND SMALL GROUP COUNSELING	N	6/15/2005	6/30/2021	NO/PRF	14	9	COLLEGE AREA	21	COLLEGE AREA
N	MENTAL HEALTH SYSTEMS INC	ACTION CENTRAL	6244	EL CAJON BLVD 	16			SAN DIEGO	CA	92115-3918	N	81356	INDIVIDUAL & SMALL GROUP COUNSELING	N	2/1/2017	1/31/2021	NO/PRF	12	9	COLLEGE AREA	21	COLLEGE AREA
N	RETINA INSTITUTE OF CALIFORNIA MEDICAL GROUP	ACUITY EYE GROUP	6945	EL CAJON BLVD 				SAN DIEGO	CA	92115-1754	N	6213	EYE CLINIC	N	2/1/2018	1/31/2021	PARTNR	7	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
N	ADRIANBERTOS INC	ADALBERTOS MEXICAN FOOD	6685	EL CAJON BLVD 				SAN DIEGO	CA	92115-2802	N	7222	SELLING MEXICAN FOOD	N	1/15/2020	1/31/2021	SCORP	0	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
Y	ADAM MANLEY & AMERTAH PERMAN	ADAM MANLEY & AMERTAH PERMAN	6353	EL CAJON BLVD 	124			SAN DIEGO	CA	92115-2655	Y	71151	INDEPENDENT ARTISTS, WRITERS & PERFORMERS	N	7/1/2016	6/30/2021	H-W	0		MID-CITY:EASTERN AREA	21	COLLEGE AREA
Y	ADBINUR M ABDI	ADBINUR ABDI	4413	COLLEGE AVE 	4413			SAN DIEGO	CA	92115-5535	Y	48531	TAXI	N	6/17/2015	6/30/2021	SOLE	0	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
Y	GLEN C SLUDER	ADORA TATTOO STUDIO / ADORA TATTOO	7151	EL CAJON BLVD 	L			SAN DIEGO	CA	92115-1819	N	812196	I WILL BE WORKING BY MYSELF AS A PROFESSIONAL TATTOO ARTIST 	N	4/25/2011	4/30/2021	SOLE	0	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
N	MILLARD R GAY	ADRIAN'S BOSSY SALON SUITES	6244	EL CAJON BLVD 	9			SAN DIEGO	CA	92115-3918	N	812112	HAIR SALON 	N	1/2/2020	1/31/2021	SOLE	0	9	COLLEGE AREA	21	COLLEGE AREA
Y	MILLARD R GAY	ADRIAN'S BOSSY SALON SUITES	6244	EL CAJON BLVD 	21			SAN DIEGO	CA	92115-3918	N	812113	NAIL SALON	N	1/2/2020	1/31/2021	SOLE	0	9	COLLEGE AREA	21	COLLEGE AREA
N	HUAN ALBERT LE,MD	ADVANCED LUNG & SLEEP CLINIC	5507	EL CAJON BLVD 				SAN DIEGO	CA	92115-3624	N	62111	MEDICAL CLINIC	N	1/1/2005	12/31/2020	SOLE	0	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
N	CHRISTINE I OLWAR TOMBE	AFRICAN BEAUTY HAIR BRADING & HINNA	5728	EL CAJON BLVD 				SAN DIEGO	CA	92115-3737	N	812112	HAIR BRADING SALON	N	3/30/2009	3/31/2021	SOLE	0	9	COLLEGE AREA	21	COLLEGE AREA
N	ALCAM MEDICAL INC	ALCAM MEDICAL INC	6244	EL CAJON BLVD 	12			SAN DIEGO	CA	92115-3918	N	621999	ORTHOTIC & PROSTHETIC BUSINESS. FITTING PATIENTS FOR BRACES AND PROSTETIC LIMBS	N	6/11/2018	6/30/2021	SCORP	1	9	COLLEGE AREA	21	COLLEGE AREA
Y	SAG GROUP INC	ALFORON	5965	EL CAJON BLVD 				SAN DIEGO	CA	92115-3827	N	72221	LIMITED-SERVICE EATING PLACES	N	10/1/2010	9/30/2021	CORP	4	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
N	ALIA INSURANCE SERVICES INC	ALIA AUTO INSURANCE	5799	EL CAJON BLVD 				SAN DIEGO	CA	92115-3738	N	52421	INSURANCE AGENCIES & BROKERAGES	N	12/6/2001	12/31/2020	CORP	4	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
N	COLTON CAMPUS PT LLC	ALL AMERICAN SELF STORAGE	6225	EL CAJON BLVD 				SAN DIEGO	CA	92115-3917	N	49311	SELF STORAGE FACILITY	N	2/17/2005	2/28/2021	LLC	0	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
N	ALLIANCE FOR AFRICIAN ASSISTANCE	ALLIANCE FOR AFRICAN ASSISTANCE 	5952	EL CAJON BLVD 				SAN DIEGO	CA	92115-3828	N	8134	HEALTH CLINIC	N	11/16/1992	11/30/2020	CORP	4	9	COLLEGE AREA	21	COLLEGE AREA
N	ALLIANCE HEALTH CLINIC INC	ALLIANCE HEALTH CLINIC INC	5952	EL CAJON BLVD 				SAN DIEGO	CA	92115-3828	N	81356	COMMUNITY HEALTH CLINIC SERVICE	N	1/1/2007	12/31/2020	NO/PRF	4	9	COLLEGE AREA	21	COLLEGE AREA
N	MICHEAL R ALLMAN	ALLMAN AUTO SALES	7066	EL CAJON BLVD 	C			SAN DIEGO	CA	92115-1824	N	44112	USED AUTO SALES	N	8/4/2019	8/31/2021	SOLE	0		COLLEGE AREA                       	21	COLLEGE AREA
N	ALLMAN FAMILY AUTO INC	ALLMAN FAMILY AUTO INC	7066	EL CAJON BLVD 				SAN DIEGO	CA	92115-1824	N	811111	GENERAL AUTO REPAIR	N	7/1/2014	6/30/2021	SCORP	4	9	COLLEGE AREA	21	COLLEGE AREA
N	HOME OF PEACE MORTUARY	AM ISRAEL MORTUARY INC	6316	EL CAJON BLVD 				SAN DIEGO	CA	92115-2641	N	5419	OTH PROFESSIONAL/SCIENTIFIC/TECHNICAL SERVICE	N	9/1/1977	8/31/2021	CORP	6	9	COLLEGE AREA	21	COLLEGE AREA
Y	AMERICAN INTERNATIONAL ACADEMY INC	AMERICAN INTERNATIONAL ACADEMY INC	5875	EL CAJON BLVD 	204			SAN DIEGO	CA	92115-3770	N	6117	INTERNATIONAL CULTURE EXCHANGE PROGRAM	N	1/1/2016	12/31/2020	CORP	3	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
N	ERIC V TRAN & LEE T CHAU	AMY'S NAILS & HAIR	6375	EL CAJON BLVD 	D			SAN DIEGO	CA	92115-2656	N	812113	NAILS SALON	N	2/18/2008	2/28/2021	H-W	2	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
Y	ANDREW GUILLEN	ANDREW GUILLEN	5549	EL CAJON BLVD 				SAN DIEGO	CA	92115-3624	N	51211	CONTENT CREATION	N	3/8/2020	3/31/2021	SOLE	0	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
N	ANEL VALDEZ & MARCOS VALDEZ	ANNELL'S CLOSET	4812	70TH ST 	5			SAN DIEGO	CA	92115-3079	Y	454112	SELLING CLOTHES ONLINE AND FLEA MARKET	N	10/18/2019	10/31/2021	H-W	2	9	MID-CITY:EASTERN AREA              	21	COLLEGE AREA
N	AQUA EXPRESS INC	AQUA CLEAN EXPRESS CAR WASH	6675	EL CAJON BLVD 				SAN DIEGO	CA	92115-2802	N	811192	CAR WASH	N	5/15/2014	5/31/2021	CORP	8	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
Y	DIANA ROMERO	AT YOUR SIDE PLANNING	6353	EL CAJON BLVD 	124-177			SAN DIEGO	CA	92115-2600	N	81299	WEDDING AND EVENT PLANNING	N	8/20/2012	8/31/2021	SOLE	0	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
N	AUDIO DESIGN RENTALS INC	AUDIO DESIGN RENTALS	6555	EL CAJON BLVD 				SAN DIEGO	CA	92115-2705	N	53229	OTHER CONSUMER GOODS RENTAL	N	1/15/1999	1/31/2021	CORP	0	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
N	CARMEN GONZALEZ	AUTO GLASS 4 LESS/WESTCOAST AUTO GLASS & TINT	5803	EL CAJON BLVD 				SAN DIEGO	CA	92115-3741	N	811198	REPLACE AUTO GLASS AND WINDOW TINT	N	3/29/2004	3/31/2021	SOLE	2	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
Y	MEHDI KHORRAMI	AZTEC AUTO SALES	5811	EL CAJON BLVD 				SAN DIEGO	CA	92115-3741	N	44112	USED CAR SALES.	N	11/9/2011	11/30/2020	SOLE	0	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
N	ALISA M TAGLE	AZTEC SMOG CENTER	6590	EL CAJON BLVD 	B			SAN DIEGO	CA	92115-2707	N	811198	SMOGS	N	2/1/2019	1/31/2021	SOLE	3	9	COLLEGE AREA                       	21	COLLEGE AREA
N	SHAMOUN SOMO INC	AZTEC SMOKE AND VAPE SHOP	5969	EL CAJON BLVD 				SAN DIEGO	CA	92115-3827	N	453991	SMOKE SHOP	N	11/1/2006	10/31/2021	CORP	3	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
N	REBECA SAMMAN	AZTEC TAN & SPA	6465	EL CAJON BLVD 				SAN DIEGO	CA	92115-2646	N	812199	TANNING BEDS. UVB, SALE LOTIONS	N	2/23/2012	2/28/2021	SOLE	0	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
N	BROOKS NATHANIEL	B & D ENTERPRISES	5937	EL CAJON BLVD 				SAN DIEGO	CA	92115-3827	N	323	PRINTING SERVICES.	N	6/1/1995	5/31/2021	SOLE	0	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
N	B & H EQUIPMENT INC	B & H EQUIPMENT INC	6916	EL CAJON BLVD 	L			SAN DIEGO	CA	92115-1738	N	811192	CARWASH-COIN-OPERATED	N	7/1/1974	6/30/2021	CORP	1	9	COLLEGE AREA                       	21	COLLEGE AREA
N	JACK SEUFERER	B R U AUTOMOTIVE	5625	EL CAJON BLVD 				SAN DIEGO	CA	92115-3736	N	811111	GENERAL AUTOMOTIVE REPAIR	N	6/8/1988	6/30/2021	SOLE	3	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
N	BALBOA NEPHROLOGY MEDICAL GROUP INC	BALBOA NEPHROLOGY MEDICAL GROUP INC	6402	EL CAJON BLVD 	102			SAN DIEGO	CA	92115-2645	N	62139	MEDICAL OFFICE	N	10/1/2014	9/30/2021	SCORP	3	9	COLLEGE AREA	21	COLLEGE AREA
N	MEDICAL MANAGEMENT INTERNATIONAL INC	BANFIELD PET HOSPITAL # 5236	4585	COLLEGE AVE 	4A			SAN DIEGO	CA	92115-4011	N	81291	VETERINARIAN SERVICES (SMALL ANIMAL)	N	4/13/2020	4/30/2021	CORP	10	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
Y	DEP GAI LLC	BANH MI BABE	5854	MONTEZUMA RD 				SAN DIEGO	CA	92115-2340	N	11	AGRICULTURE, FORESTRY, FISHING & HUNTING	N	2/1/2020	1/31/2021	LLC	0	9	COLLEGE AREA	21	COLLEGE AREA
N	TIFFANY M GARCIA	BEAUTIFUL DAME SKINCARE	6602	EL CAJON BLVD 	A107			SAN DIEGO	CA	92115-2875	N	812112	SKINCARE HEALTH & WELLNESS	N	11/15/2019	11/30/2020	SOLE	1	9	COLLEGE AREA                       	21	COLLEGE AREA
N	LILIA VANESSA GARLOUGH	BEAUTY BY VANESSA	4901	70TH ST 				SAN DIEGO	CA	92115-1802	N	81211	SKINCARE AND WAXING FACILITY	N	3/13/2019	3/31/2021	SOLE	0	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
N	ALINA PROKOPETS	BECLEAN	5885	EL CAJON BLVD 	111			SAN DIEGO	CA	92115-3755	N	454112	SALES IN INTERNET	N	3/20/2020	3/31/2021	SOLE	0	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
N	BELLA BEVERAGE CATERING EVENTS INC	BELLA BEVERAGE CATERING EVENTS INC	6955	EL CAJON BLVD 				SAN DIEGO	CA	92115-1739	Y	72232	MOBILE BARS / MOBILE BARTENDING	N	4/8/2014	4/30/2021	SCORP	5	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
N	BIG 5 CORP	BIG 5 SPORTING GOODS #127	6061	EL CAJON BLVD 				SAN DIEGO	CA	92115-3845	N	45111	SPORTING GOODS STORES	N	10/1/1989	10/31/2021	CORP	21	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
N	BIOMAT USA INC	BIOMAT USA INC	7150	EL CAJON BLVD 				SAN DIEGO	CA	92115-1827	N	54171	COLLECTION OF BLOOD PLASMA	N	4/1/2008	3/31/2021	CORP	53	9	COLLEGE AREA	21	COLLEGE AREA
Y	XUAN VO	BLADEZ SMOKE SHOP	6563	EL CAJON BLVD 				SAN DIEGO	CA	92115-2705	N	453991	SMOKE SHOP TOBACCO PRODUCTS.	N	11/1/2015	10/31/2021	SOLE	1	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
N	ABLA KOUMA M ATSOUVI	BLESSED HANDS BEAUTY & SPA LOUNGE	6765	EL CAJON BLVD 				SAN DIEGO	CA	92115-1621	Y	81211	HAIR STYLIST	N	3/9/2018	3/31/2021	SOLE	0	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
N	CLARA J  CARR	BLESSED HANDS BEAUTY SALON	6765	EL CAJON BLVD 				SAN DIEGO	CA	92115-1621	N	812112	STYLE HARI CUTT HAIR COLOR HAIR TREAT & CONDITION HAIR COMPLETE HAIR STYLING	N	7/1/2009	6/30/2017	SOLE	0	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
N	CLARA J REYNOLDS	BLESSED HANDS STYLING AND BRAIDING SALON	6769	EL CAJON BLVD 	14			SAN DIEGO	CA	92115-1623	N	44612	COSMETICS, BEAUTY SUPPLIES & PERFUME STORES	N	7/29/2015	7/31/2021	SOLE	0	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
N	BLICK ART MATERIALS LLC	BLICK ART MATERIALS	5500	CAMPANILE DR 				SAN DIEGO	CA	92115-1701	N	45399	RETAIL ART SUPPLIES	N	1/1/2014	12/31/2020	LLC	2	9	COLLEGE AREA	21	COLLEGE AREA
N	BLUE CHIP HOSPITALITY GROUP INC	BLUE CHIP HOSPITALITY GROUP INC	6161	EL CAJON BLVD 	B-479			SAN DIEGO	CA	92115-3922	N	561599	SPORTS HOSPITALITY TAHT SUPPLIES CLIENTS QWITH TICKETS AND RUNS EVENTS AND SPORTING EVENTS	N	1/22/2009	4/30/2021	CORP	1	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
N	DAVE MASON	BLUE PLANET LAUNDRY	6145	EL CAJON BLVD 				SAN DIEGO	CA	92115-3923	N	8123	LAUNDROMAT	N	5/7/2011	5/31/2021	SOLE	5	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
N	SHABA INC	BOB SMOKE SHOP	6165	EL CAJON BLVD 	M			SAN DIEGO	CA	92115-3927	N	453991	TOBACCO SHOP	N	1/1/2015	12/31/2020	SCORP	1	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
N	MICHAEL J BOND	BOND'S AUTOMOTIVE	7215	EL CAJON BLVD 				SAN DIEGO	CA	92115-1830	N	811111	GENERAL AUTOMOTIVE REPAIR	N	3/1/2002	2/28/2021	SOLE	0	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
N	RAY CHAVEZ JR	BOULEVARD BARBERS	5733	EL CAJON BLVD 				SAN DIEGO	CA	92115-3738	N	812111	BARBER SHOP/CUT HAIR	N	8/31/2011	8/31/2021	SOLE	0	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
N	OROZCO/WOODINGTON	BOWMAN'S COLLEGE CENTER GARAGE	4622	COLLEGE AVE 				SAN DIEGO	CA	92115-3903	N	54199	ALL OTH PROF, SCIENTIFIC & TECHNICAL SERVICES	N	2/20/2000	2/28/2021	PARTNR	1	9	COLLEGE AREA	21	COLLEGE AREA
N	WEST COAST TACO COMPANY LLC	BROKEN YOLK CAFE	5120	COLLEGE AVE 	121			SAN DIEGO	CA	92115-2445	N	72211	RESTAURANT	N	9/1/2017	8/31/2021	LLC	29	9	COLLEGE AREA	21	COLLEGE AREA
N	BROKEN WINGZ STILL FLY	BROKENWINGZSTILLFLY	5885	EL CAJON BLVD 	106			SAN DIEGO	CA	92115-3754	Y	4543	CLOTHING SALES	N	4/2/2017	4/30/2021	LLC	1		MID-CITY:EASTERN AREA	21	COLLEGE AREA
N	J DAVIS ENTERPRISES INC	BURGER KING	6135	EL CAJON BLVD 				SAN DIEGO	CA	92115-3915	N	722	FOOD SERVICES & DRINKING PLACES	N	1/4/1984	11/30/2020	CORP	25	9		21	COLLEGE AREA
N	LEYDI Y SANCHEZ CRUZ	C & K CLEANING SERVICES	5925	EL CAJON BLVD 	319			SAN DIEGO	CA	92115-3829	Y	56172	HOTEL/HOME JANITORIAL SERVICES	N	4/16/2019	4/30/2021	SOLE	0	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
Y	CABDISAMED M AXMED	CABDISAMED M AXMED	7240	EL CAJON BLVD 	14			SAN DIEGO	CA	92115-1833	Y	4853	TAXI & LIMOUSINE SERVICE	N	7/1/2014	6/30/2021	SOLE	0	9	COLLEGE AREA                       	21	COLLEGE AREA
N	M & H TRADING INC	CAFE EUROPE	6784	EL CAJON BLVD 	A			SAN DIEGO	CA	92115-1602	N	722212	COFFEE SHOP AND HOOKAH	N	11/1/2018	10/31/2021	CORP	1	9	COLLEGE AREA	21	COLLEGE AREA
Y	CALIFORNIA COAST CREDIT UNION	CALIFORNIA COAST CREDIT UNION	5500	CAMPANILE DR 	140			SAN DIEGO	CA	92115	N	52111	CREDIT UNION: OFFERING CHECKING, SAVING, LOANS ETC	N	3/3/2014	3/31/2021	CORP	3	9	COLLEGE AREA	21	COLLEGE AREA
Y	CALIFORNIA COMMERCIAL COATINGS INC	CALIFORNIA COMMERCIAL COATINGS INC	6161	EL CAJON BLVD 				SAN DIEGO	CA	92115-3922	N	23521	PAINTING	Y	10/15/2020	10/31/2021	CORP	1	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
N	CALIFORNIA CREMATION & BURIAL CHAPEL INC	CALIFORNIA CREMATION & BURIAL CHAPEL INC	5880	EL CAJON BLVD 				SAN DIEGO	CA	92115-3743	N	54199	ALL OTH PROF, SCIENTIFIC & TECHNICAL SERVICES	N	3/20/1984	1/31/2021	CORP	8	9	COLLEGE AREA	21	COLLEGE AREA
N	NINM INC	CALIFORNIA KEG & LIQUOR NO 2	6802	EL CAJON BLVD 				SAN DIEGO	CA	92115-1724	N	44512	CONVENIENCE STORE SELLING PRE-PACKAGED FOODS, DRINKS, HOUSEHOLD GOODS AND ALCOHOL PRODUCTS	N	1/15/2018	1/31/2021	CORP	2	9	COLLEGE AREA	21	COLLEGE AREA
N	YASHWANT CHAUDHRI MD APC	CALIFORNIA MENTAL BEHAVIORAL HEALTH	4537	COLLEGE AVE 				SAN DIEGO	CA	92115-4010	N	6211	PSYCHIATRIC PRACTICE	N	10/13/2006	10/31/2021	SCORP	2	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
N	CALIFORNIA MENTAL BEHAVIORAL HEALTH LLC	CALIFORNIA MENTAL BEHAVIORAL HEALTH LLC	4537	COLLEGE AVE 				SAN DIEGO	CA	92115-4010	N	621399	OFFICES OF ALL OTH MISC HEALTH PRACTITIONERS	N	9/1/2015	8/31/2021	LLC	0	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
N	JEREMY EDMISTON	CAMPDADS ADVENTURE CO	6161	EL CAJON BLVD 	B442			SAN DIEGO	CA	92115-3922	N	487	4X4 TOURS AND DRIVING EXPERIENCES	N	1/1/2020	12/31/2020	SOLE	0	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
N	A SABBAGH DDS INC	CAMPUS DENTISTRY	6244	EL CAJON BLVD 	8-Jul			SAN DIEGO	CA	92115-3918	N	62121	GENERAL DENTISTRY	N	7/1/2015	6/30/2021	SCORP	2	9	COLLEGE AREA	21	COLLEGE AREA
N	HYE M IN & SEUNG WON CHOI	CAP & TEE FACTORY SD	5875	EL CAJON BLVD 	101			SAN DIEGO	CA	92115-3769	N	448	CLOTHING RETAIL AND EMBROIDERY STORE	N	6/1/2014	5/31/2021	PARTNR	0	9	MID-CITY:EASTERN AREA	21	COLLEGE AREA
